WEEK_NUM,GAME_DATE,GAME_TIME_SCORE,AWAY_SCHOOL,HOME_SCHOOL,GAME_LOCATION
1,"Saturday, September 3, 2022 ","NEV 38, TXST 14",326,2440,"Reno, NV"
1,"Saturday, September 3, 2022 ","GASO 59, MORG 7",2415,290,"Statesboro, GA"
1,"Saturday, September 3, 2022 ","OHIO 41, FAU 38",2226,195,"Athens, OH"
1,"Saturday, September 3, 2022 ","JMU 44, MTSU 7",2393,256,"Harrisonburg, VA"
1,"Saturday, September 3, 2022 ","AUB 42, MER 16",2382,2,"Auburn, AL"
1,"Saturday, September 3, 2022 ","VAN 42, ELON 31",2210,238,"Nashville, TN"
1,"Saturday, September 3, 2022 ","KSU 34, SDAK 0",233,2306,"Manhattan, KS"
1,"Saturday, September 3, 2022 ","CCU 38, ARMY 28",349,324,"Conway, SC"
1,"Saturday, September 3, 2022 ","LIB 29, USM 27 (4OT)",2335,2572,"Hattiesburg, MS"
1,"Saturday, September 3, 2022 ","TULN 42, MASS 10",113,2655,"New Orleans, LA"
1,"Saturday, September 3, 2022 ","UL 24, SELA 7",2545,309,"Lafayette, LA"
1,"Saturday, September 3, 2022 ","ARST 58, GRAM 3",2755,2032,"Jonesboro, AR"
1,"Saturday, September 3, 2022 ","MSST 49, MEM 23",235,344,"Starkville, MS"
1,"Saturday, September 3, 2022 ","SC 35, GAST 14",2247,2579,"Columbia, SC"
1,"Saturday, September 3, 2022 ","SMU 48, UNT 10",2567,249,"Denton, TX"
1,"Saturday, September 3, 2022 ","STAN 41, COLG 10",2142,24,"Stanford, CA"
1,"Saturday, September 3, 2022 ","TTU 63, MUR 10",93,2641,"Lubbock, TX"
1,"Saturday, September 3, 2022 ","TEX 52, ULM 10",2433,251,"Austin, TX"
1,"Saturday, September 3, 2022 ","SYR 31, LOU 7",97,183,"Syracuse, NY"
1,"Saturday, September 3, 2022 ","UNM 41, ME 0",311,167,"Albuquerque, NM"
1,"Saturday, September 3, 2022 ","WSU 24, IDHO 17",70,265,"Pullman, WA"
1,"Saturday, September 3, 2022 ","ORST 34, BOIS 17",68,204,"Corvallis, OR"
1,"Saturday, September 3, 2022 ","WASH 45, KENT 20",2309,264,"Seattle, WA"
1,"Saturday, September 3, 2022 ","WKU 49, HAW 17",98,62,"Honolulu, HI"
1,"Sunday, September 4, 2022 ","FSU 24, LSU 23",52,99,"New Orleans, LA"
1,"Monday, September 5, 2022 ","CLEM 41, GT 10",228,59,"Atlanta, GA"
2,"Friday, September 9, 2022 ","LOU 20, UCF 14",97,2116,"Orlando, FL"
2,"Friday, September 9, 2022 ","BOIS 31, UNM 14",68,167,"Albuquerque, NM"
2,"Saturday, September 10, 2022 ","ALA 20, TEX 19",333,251,"Austin, TX"
2,"Saturday, September 10, 2022 ","UGA 33, SAM 0",2535,61,"Athens, GA"
2,"Saturday, September 10, 2022 ","OSU 45, ARST 12",2032,194,"Columbus, OH"
2,"Saturday, September 10, 2022 ","MICH 56, HAW 10",62,130,"Ann Arbor, MI"
2,"Saturday, September 10, 2022 ","CLEM 35, FUR 12",231,228,"Clemson, SC"
2,"Saturday, September 10, 2022 ","APP 17, TA&M 14",2026,245,"College Station, TX"
2,"Saturday, September 10, 2022 ","OU 33, KENT 3",2309,201,"Norman, OK"
2,"Saturday, September 10, 2022 ","MRSH 26, ND 21",276,87,"Notre Dame, IN"
2,"Saturday, September 10, 2022 ","BYU 26, BAY 20 (2OT)",239,252,"Provo, UT"
2,"Saturday, September 10, 2022 ","USC 41, STAN 28",30,24,"Stanford, CA"
2,"Saturday, September 10, 2022 ","OKST 34, ASU 17",9,197,"Stillwater, OK"
2,"Saturday, September 10, 2022 ","UK 26, FLA 16",96,57,"Gainesville, FL"
2,"Saturday, September 10, 2022 ","UTAH 73, SUU 7",253,254,"Salt Lake City, UT"
2,"Saturday, September 10, 2022 ","MSU 52, AKR 0",2006,127,"East Lansing, MI"
2,"Saturday, September 10, 2022 ","MIA 30, USM 7",2572,2390,"Miami Gardens, FL"
2,"Saturday, September 10, 2022 ","ARK 44, SC 30",2579,8,"Fayetteville, AR"
2,"Saturday, September 10, 2022 ","TENN 34, PITT 27 (OT)",2633,221,"Pittsburgh, PA"
2,"Saturday, September 10, 2022 ","NCST 55, CHSO 3",2127,152,"Raleigh, NC"
2,"Saturday, September 10, 2022 ","WSU 17, WISC 14",265,275,"Madison, WI"
2,"Saturday, September 10, 2022 ","MISS 59, CARK 3",2110,145,"Oxford, MS"
2,"Saturday, September 10, 2022 ","WAKE 45, VAN 25",154,238,"Nashville, TN"
2,"Saturday, September 10, 2022 ","TTU 33, HOU 30 (2OT)",248,2641,"Lubbock, TX"
2,"Saturday, September 10, 2022 ","MINN 62, WIU 10",2710,135,"Minneapolis, MN"
2,"Saturday, September 10, 2022 ","DUKE 31, NU 23",150,77,"Evanston, IL"
2,"Saturday, September 10, 2022 ","PSU 46, OHIO 10",195,213,"University Park, PA"
2,"Saturday, September 10, 2022 ","UNC 35, GAST 28",153,2247,"Atlanta, GA"
2,"Saturday, September 10, 2022 ","UTSA 41, ARMY 38 (OT)",2636,349,"West Point, NY"
2,"Saturday, September 10, 2022 ","KSU 40, MIZ 12",142,2306,"Manhattan, KS"
2,"Saturday, September 10, 2022 ","USA 38, CMU 24",6,2117,"Mount Pleasant, MI"
2,"Saturday, September 10, 2022 ","TEM 30, LAF 14",322,218,"Philadelphia, PA"
2,"Saturday, September 10, 2022 ","WMU 37, BALL 30",2711,2050,"Muncie, IN"
2,"Saturday, September 10, 2022 ","AFA 41, COLO 10",38,2005,"USAF Academy, CO"
2,"Saturday, September 10, 2022 ","MEM 37, NAVY 13",235,2426,"Annapolis, MD"
2,"Saturday, September 10, 2022 ","CIN 63, KENN 10",338,2132,"Cincinnati, OH"
2,"Saturday, September 10, 2022 ","MD 56, CLT 21",120,2429,"Charlotte, NC"
2,"Saturday, September 10, 2022 ","CAL 20, UNLV 14",2439,25,"Berkeley, CA"
2,"Saturday, September 10, 2022 ","WASH 52, PRST 6",2502,264,"Seattle, WA"
2,"Saturday, September 10, 2022 ","ISU 10, IOWA 7",66,2294,"Iowa City, IA"
2,"Saturday, September 10, 2022 ","ILL 24, UVA 3",258,356,"Champaign, IL"
2,"Saturday, September 10, 2022 ","PUR 56, INST 0",282,2509,"West Lafayette, IN"
2,"Saturday, September 10, 2022 ","RUTG 66, WAG 7",2681,164,"Piscataway, NJ"
2,"Saturday, September 10, 2022 ","WYO 33, UNCO 10",2458,2751,"Laramie, WY"
2,"Saturday, September 10, 2022 ","EKU 59, BGSU 57 (7OT)",2198,189,"Bowling Green, OH"
